emoji,hexcode,hfg_tags,hfg_author
↩️,21A9,"directions, turn arround",Jose Avila
↪️,21AA,"directions, turn arround",Jose Avila
🔀,1F500,random,Jose Avila
🔁,1F501,cycle,Jose Avila
🔂,1F502,,Jose Avila
🔼,1F53C,improve,Jose Avila
🔽,1F53D,"decline, decrease",Jose Avila
▶️,25B6,,Jose Avila
⏩️,23E9,,Jose Avila
🎦,1F3A6,,Jose Avila
📳,1F4F3,silent mode,Jose Avila
📶,1F4F6,,Jose Avila
⏏️,23CF,,Jose Avila
⏪️,23EA,,Jose Avila
⏫,23EB,,Jose Avila
⏬,23EC,,Jose Avila
⏭️,23ED,,Jose Avila
⏮️,23EE,,Jose Avila
⏯️,23EF,,Jose Avila
⏸️,23F8,,Jose Avila
⏹️,23F9,,Jose Avila
⏺️,23FA,,Jose Avila
◀️,25C0,,Jose Avila
📴,1F4F4,caos,Jose Avila
🔅,1F505,,Jose Avila
🔆,1F506,,Jose Avila
🏆️,1F3C6,"Trophy, Championship, Winner, Gold Cup, award",Julian Grüneberg
🎖️,1F396,"Medal, Medallion, Military, Ribbon",Julian Grüneberg
🏅,1F3C5,"Sports, Medal, Sporting",Julian Grüneberg
🥇,1F947,"Gold Medal, Gold, Medal, 1st Place Medal, First Place Medal",Julian Grüneberg
🥈,1F948,"Silver, Medal, Silver Medal, Second Place, Second Place Medal, 2nd Place Medal",Julian Grüneberg
🥉,1F949,"Bronze, Medal, Bronze Medal, Third Place, Third Place Medal, 3rd Place Medal",Julian Grüneberg
👆️,1F446,"backhand, finger, hand, index, point, up, Middle Finger, White Up",Julian Grüneberg
👇️,1F447,"backhand, down, finger, hand, index, point, point, down, Middle Finger, White down",Julian Grüneberg
👈️,1F448,"backhand, finger, hand, index, point, point, left, Middle Finger, White left",Julian Grüneberg
👉️,1F449,"backhand, finger, hand, index, point, point, right, Middle Finger, White right",Julian Grüneberg
👊,1F44A,"clenched, fist, hand, punch, fist, oncoming fist, Brofist, Bro, Bump,",Julian Grüneberg
👋,1F44B,"Hello, Goodbye, Waving Hand Sign, Wave",Julian Grüneberg
👌,1F44C,"hand, ok, okay, perfect",Julian Grüneberg
👍️,1F44D,"Like, yes, +1, hand, thumb, up, thumbs up, thumbs up",Julian Grüneberg
👎️,1F44E,"Dislike no, Thumbs Down, Thumbs Down sign, -1, down, hand, thumb, thumbs",Julian Grüneberg
👏,1F44F,"clap, hand, clapping hands, Applause, Clap, Clapping, Golf Clap, Round Of Applause",Julian Grüneberg
👐,1F450,"Hug, Open Hands, Open, Hands, Jazz Hands, Jazz",Julian Grüneberg
💪,1F4AA,"Flexed Biceps, Biceps, Flexed, flex, muscle, Feats of Strength, strength, feats, Strong, lisa schulz, julian grüneberg",Julian Grüneberg
🖐️,1F590,"Five Hand, Hand, Five, Splayed",Julian Grüneberg
🙌,1F64C,"Raising Hands, Raising, Hands, celebration, gesture, hand, hooray, raised, Arms In The Air, Banzai, Festivus Miracle, Hallelujah, Praise Hands, Two Hands",Julian Grüneberg
🤘,1F918,"rock on, finger, hand, horns, rock-on, rock, Devil, Devil Fingers, Heavy, Metal, Heavy Metal, rock",Julian Grüneberg
🤙,1F919,"Call Me Hand, call, hand, Phone, Shaka",Julian Grüneberg
🤚,1F91A,"Backhand, raised, hand",Julian Grüneberg
🤛,1F91B,"Fist, left, leftwards, Left-Facing Fist",Julian Grüneberg
🤜,1F91C,"Right, fist, rightwards, right-Facing Fist",Julian Grüneberg
🤝,1F91D,"Shaking Hands, agreement, hand, meeting, shake, hello, bye, goodbye",Julian Grüneberg
🤞,1F91E,"Fingers Crossed, crossed, fingers, Good Luck, luck",Julian Grüneberg
✌️,270C,"hand, v, victory, Air Quotes, quotes, Peace, Peace Sign, V Sign",Julian Grüneberg
✍️,270D,"Writing Hand, Writing, Write",Julian Grüneberg
👀,1F440,"eye, face, eyes",Julian Grüneberg
👁️,1F441,"eye, face",Julian Grüneberg
👂️,1F442,"ear, hear, listen",Julian Grüneberg
👃,1F443,"nose, smell",Julian Grüneberg
👄,1F444,"lips, kiss, mouth",Julian Grüneberg
