emoji,hexcode,hfg_tags,hfg_author
🎻,1F3BB,"string, violin, fiddle, bow",Sina Schulz
💼,1F4BC,"bag, briefcase, office bag, leather bag",Sina Schulz
📁,1F4C1,"file, folder, paper, organise, structure, office, box",Sina Schulz
📅,1F4C5,"calendar, day view, pages, analog",Sina Schulz
📋️,1F4CB,"board, clip, metal, wood, handwriting",Sina Schulz
📌,1F4CC,"pin, wall, push, paper",Sina Schulz
📎,1F4CE,"office, paperclip, organisation",Sina Schulz
✂️,2702,"scissors, cut, cutting, tool, work, paper, material",Sina Schulz
📂,1F4C2,"open file, folder, organise, structure, office, box",Sina Schulz
📆,1F4C6,"calendar, tear off",Sina Schulz
📊,1F4CA,"data, chart, sheet, graph",Sina Schulz
📍,1F4CD,"pin, wall, push, paper, notes",Sina Schulz
🗑️,1F5D1,"paper, bin, trash",Sina Schulz
🗒️,1F5D2,"notes, handwrite, paper, pen, spiral block, college",Sina Schulz
📈,1F4C8,"graph going up, upward trend",Sina Schulz
📉,1F4C9,"graph going down, downtrend",Sina Schulz
📏,1F4CF,"ruler, straight, line, measure, detail",Sina Schulz
📐,1F4D0,"triangle, ruler, line, measure, detail",Sina Schulz
🗃️,1F5C3,"card, file, system, organising, structure, tidy",Sina Schulz
🗄️,1F5C4,"box, file system, cabinet, file organising",Sina Schulz
🗓️,1F5D3,"calendar, year, month view",Sina Schulz
🛒,1F6D2,,Marius Schnabel
🔮,1F52E,mystery,Marius Schnabel
🗿,1F5FF,"stone, easter island",Marius Schnabel
🚬,1F6AC,"tobacco, smoke",Marius Schnabel
⚰️,26B0,"funeral, dead",Marius Schnabel
✔️,2714,"check, mark, right, todo",Hilda Kalyoncu
✖️,2716,"multiplication, x, cancel, wrong",Hilda Kalyoncu
❌,274C,"cancel, wrong, multiply, x,",Hilda Kalyoncu
☑️,2611,"check, right, box",Hilda Kalyoncu
♀️,2640,"woman, sign, gender",Hilda Kalyoncu
♂️,2642,"man, sign, gender",Hilda Kalyoncu
✅,2705,"check, mark, white, right",Hilda Kalyoncu
❓️,2753,"question, punctation",Hilda Kalyoncu
❔,2754,"punctation, mark, question, white",Hilda Kalyoncu
❕,2755,"exclamation, mark, punctation, white",Hilda Kalyoncu
❗️,2757,"exclamation, mark, punctation",Hilda Kalyoncu
➕,2795,"math, plus, sign",Hilda Kalyoncu
➖,2796,"math, minus, sign",Hilda Kalyoncu
➗,2797,"math, division, sign",Hilda Kalyoncu
♻️,267B,"recycle, nature",Hilda Kalyoncu
❎,274E,"mark, square, button",Hilda Kalyoncu
⭕️,2B55,"circle, red",Hilda Kalyoncu
⚕️,2695,"medical, staff",Hilda Kalyoncu
〰️,3030,"dash, punctuation, wavy",Hilda Kalyoncu
©️,00A9,"copyright, c, sign",Hilda Kalyoncu
®️,00AE,"registered, r, sign",Hilda Kalyoncu
🔱,1F531,"trident, emblem",Hilda Kalyoncu
👦,1F466,"human, person",Johanna Wellnitz
👧,1F467,"human, person",Johanna Wellnitz
👨,1F468,"human, person",Johanna Wellnitz
👩,1F469,"human, person",Johanna Wellnitz
👴,1F474,"grandpa, human, person",Johanna Wellnitz
👵,1F475,"grandma, human, person",Johanna Wellnitz
👶,1F476,"human, person",Johanna Wellnitz
🧑,1F9D1,"human, person",Johanna Wellnitz
🧒,1F9D2,"human, person",Johanna Wellnitz
🧓,1F9D3,"human, person",Johanna Wellnitz
👤,1F464,"human, person",Johanna Wellnitz
👥,1F465,"human, person",Johanna Wellnitz
💃,1F483,"human, person",Johanna Wellnitz
🕺,1F57A,"human, person",Johanna Wellnitz
🗣️,1F5E3,"human, person",Johanna Wellnitz
🚶,1F6B6,"human, person",Johanna Wellnitz
🏃,1F3C3,"human, person",Johanna Wellnitz
👯,1F46F,"human, person",Johanna Wellnitz
💆,1F486,"human, person",Johanna Wellnitz
💇,1F487,"human, person",Johanna Wellnitz
🚶‍♀️,1F6B6-200D-2640-FE0F,"human, person",Johanna Wellnitz
🚶‍♂️,1F6B6-200D-2642-FE0F,"human, person",Johanna Wellnitz
🛌,1F6CC,"human, person",Johanna Wellnitz
🧗,1F9D7,"human, person",Johanna Wellnitz
🧘,1F9D8,"human, person, exercise",Johanna Wellnitz
🎅,1F385,"christmas, holiday, jolly, happy, saint nicholas, santa claus, xmas, celebration",Lisa Thiel
🤶,1F936,"christmas, holiday, jolly, happy, mrs. clause, xmas, celebration",Lisa Thiel
🧙,1F9D9,"sorcerer, sorceress, witch, wizard, magician, wand, sage",Lisa Thiel
🧝,1F9DD,"magical, mystic, bow, arrow, pointy ears",Lisa Thiel
🧞,1F9DE,"djinn, magic lamp, wish, magic",Lisa Thiel
🧟,1F9DF,"undead, walking dead, brain, decayed",Lisa Thiel
💁,1F481,"human, head, face",Johanna Wellnitz
🙅,1F645,"human, head, face",Johanna Wellnitz
🙋,1F64B,"human, head, face",Johanna Wellnitz
🤦,1F926,"facepalm, human, head, face",Johanna Wellnitz
🤷,1F937,"human, head, face",Johanna Wellnitz
🙆,1F646,"human, head, face",Johanna Wellnitz
🙇,1F647,"human, head, face",Johanna Wellnitz
🙍,1F64D,"negative, angry, head, face",Johanna Wellnitz
🙎,1F64E,"sad, negative, head, face",Johanna Wellnitz
🤦‍♀️,1F926-200D-2640-FE0F,"facepalm, head, face",Johanna Wellnitz
🤦‍♂️,1F926-200D-2642-FE0F,"facepalm, head, face",Johanna Wellnitz
👨‍🌾,1F468-200D-1F33E,"farmer, gardener, man, rancher, pitchfork, strawhat",Lisa Thiel
👨‍🍳,1F468-200D-1F373,"chef, cook, man, toque, chef's hat, food, cooking",Lisa Thiel
👨‍🎓,1F468-200D-1F393,"graduate, man, student, black robe, collegian, undergraduate, graduation",Lisa Thiel
👨‍🎤,1F468-200D-1F3A4,"actor, entertainer, man, rock, singer, star, microphone, musician",Lisa Thiel
👨‍🎨,1F468-200D-1F3A8,"artist, man, palette, brush, beret, french hat, colors, painter, art, drawing, painting, illustrator, illustrating, creative, creativity",Lisa Thiel
👨‍🏫,1F468-200D-1F3EB,"instructor, man, professor, teacher, lecturer, educator, chalkboard",Lisa Thiel
👨‍🏭,1F468-200D-1F3ED,"assembly, factory, industrial, man, worker, welder, welding, welding helmet",Lisa Thiel
👨‍💻,1F468-200D-1F4BB,"coder, developer, inventor, man, software, technologist, tablet, graphs, glasses, smart, clever, coding, code",Lisa Thiel
👨‍💼,1F468-200D-1F4BC,"architect, business, man, manager, office, white-collar, papers, copy",Lisa Thiel
👨‍🔧,1F468-200D-1F527,"electrician, man, mechanic, plumber, tradesperson, wrench, overalls, blue hat, auto mechanic",Lisa Thiel
👨‍🔬,1F468-200D-1F52C,"biologist, chemist, engineer, man, mathematician, physicist, scientist, experiment, laboratory, lab, erlenmeyer flask, safety glasses",Lisa Thiel
👨‍🚀,1F468-200D-1F680,"astronaut, man, rocket, spacesuit, space, universe, spaceship",Lisa Thiel
👨‍🚒,1F468-200D-1F692,"firefighter, firetruck, man, water hose, save, rescue, red helmet",Lisa Thiel
👨‍⚕️,1F468-200D-2695-FE0F,"doctor, healthcare, man, nurse, therapist, stethoscope, doctor smock",Lisa Thiel
👨‍⚖️,1F468-200D-2696-FE0F,"justice, man, scales, judge hammer, gavel, black robe, law, order",Lisa Thiel
👨‍✈️,1F468-200D-2708-FE0F,"man, pilot, plane, flying, control stick",Lisa Thiel
👩‍🌾,1F469-200D-1F33E,"farmer, gardener, woman, rancher, pitchfork, braids",Lisa Thiel
👩‍🍳,1F469-200D-1F373,"chef, cook, woman, toque, chef's hat, food, cooking",Lisa Thiel
👩‍🎓,1F469-200D-1F393,"graduate, woman, student, black robe, collegian, undergraduate, graduation",Lisa Thiel
👩‍🎤,1F469-200D-1F3A4,"actor, entertainer, woman, rock, singer, star, microphone, musician, glamour, glamorous, dress, wavy hair",Lisa Thiel
👩‍🎨,1F469-200D-1F3A8,"artist, woman, palette, brush, beret, french hat, colors, painter, art, drawing, painting, illustrator, illustrating, creative, creativity",Lisa Thiel
👩‍🏫,1F469-200D-1F3EB,"instructor, woman, professor, teacher, lecturer, educator, chalkboard",Lisa Thiel
👩‍🏭,1F469-200D-1F3ED,"assembly, factory, industrial, woman, worker, welder, welding, welding helmet",Lisa Thiel
👩‍💻,1F469-200D-1F4BB,"coder, developer, inventor, woman, software, technologist, tablet, graphs, glasses, smart, clever, coding, code",Lisa Thiel
👩‍💼,1F469-200D-1F4BC,"architect, business, woman, manager, office, white-collar, papers, copy",Lisa Thiel
👩‍🔧,1F469-200D-1F527,"electrician, woman, mechanic, plumber, tradesperson, wrench, overalls, blue hat, auto mechanic",Lisa Thiel
👩‍🔬,1F469-200D-1F52C,"biologist, chemist, engineer, woman, mathematician, physicist, scientist, experiment, laboratory, lab, erlenmeyer flask, safety glasses",Lisa Thiel
👩‍🚀,1F469-200D-1F680,"astronaut, woman, rocket, spacesuit, space, universe, spaceship",Lisa Thiel
👩‍🚒,1F469-200D-1F692,"firefighter, firetruck, woman, water hose, save, rescue, red helmet",Lisa Thiel
👩‍⚕️,1F469-200D-2695-FE0F,"doctor, healthcare, woman, nurse, therapist, stethoscope, doctor smock",Lisa Thiel
👩‍⚖️,1F469-200D-2696-FE0F,"justice, woman, scales, judge hammer, gavel, black robe, law, order",Lisa Thiel
👩‍✈️,1F469-200D-2708-FE0F,"woman, pilot, plane, flying, control stick",Lisa Thiel
👮,1F46E,"cop, officer, police, law, justice, blue, badge",Lisa Thiel
👰,1F470,"bride, veil, wedding, woman, female, marriage, married, love, wedding dress",Lisa Thiel
👳,1F473,"man, beard, turban, religion",Lisa Thiel
👷,1F477,"construction, hat, worker, striped west, helmet",Lisa Thiel
👸,1F478,"fairy tale, fantasy, crown, pink dress, princess crown",Lisa Thiel
💂,1F482,"guard, britain, great britain, queen, england, london, royal guard, furry hat guard, protection",Lisa Thiel
🕵️,1F575,"sleuth, spy, sherlock, investigator, magnifier, magnifying glass, cloak, coat",Lisa Thiel
🤰,1F930,"pregnant, woman, child, birth, love, mother, motherhood, trust, baby",Lisa Thiel
🤱,1F931,"baby, breast, nursing, love, trust, mother, motherhood",Lisa Thiel
🤴,1F934,"prince, charming, crown, fairy tale, fantasy, pink",Lisa Thiel
🧔,1F9D4,"beard, man, facial hair, man, manly",Lisa Thiel
🧕,1F9D5,"headscarf, hijab, mantilla, religion, religious, muslim",Lisa Thiel
🏍️,1F3CD,"motorsports, vehicle",Johanna Wellnitz
🏂️,1F3C2,"winter, sports",Johanna Wellnitz
🏄️,1F3C4,"water, ocean, sea, wave, surfer, sports",Johanna Wellnitz
🏇,1F3C7,"animal, sports",Johanna Wellnitz
🏊️,1F3CA,"sports, water",Johanna Wellnitz
🏋️,1F3CB,"sports, power",Johanna Wellnitz
🏌️,1F3CC,sports,Johanna Wellnitz
🏎️,1F3CE,"sports, motor",Johanna Wellnitz
🚣,1F6A3,"sports, kayak, canoe, water",Johanna Wellnitz
🚴,1F6B4,sports,Johanna Wellnitz
🤸,1F938,sports,Johanna Wellnitz
🤹,1F939,artist,Johanna Wellnitz
🤺,1F93A,"epee, sports",Johanna Wellnitz
🤼,1F93C,"fighting, sports",Johanna Wellnitz
🤽,1F93D,sports,Johanna Wellnitz
🤾,1F93E,"sports, indoor",Johanna Wellnitz
⛷️,26F7,"winter, sports",Johanna Wellnitz
⛹️,26F9,"dribble, sports",Johanna Wellnitz
📞,1F4DE,"call, voice, communication",Kai Wanschura
📱,1F4F1,"smartphone, message, voice, communication",Martin Wehl
☎️,260E,"call, voice, communication",Kai Wanschura
📠,1F4E0,"office, paper, communication",Martin Wehl
📲,1F4F2,"voice, smartphone, message",Martin Wehl
🏠️,1F3E0,building,Martin Wehl
🏘️,1F3D8,"buildings, neighbourhood",Martin Wehl
🏛️,1F3DB,"building, historical, old, antique",Martin Wehl
🏥,1F3E5,"building, cross, help, social, public",Martin Wehl
🏫,1F3EB,"learning, public, teaching, education",Martin Wehl
🏗️,1F3D7,"work, building lot, crane",Martin Wehl
🏙️,1F3D9,"buildings, metropolis",Martin Wehl
🏚️,1F3DA,"building, old, rotten, dangerous",Martin Wehl
🏟️,1F3DF,"building, football, sports, olympic",Martin Wehl
🏡,1F3E1,"building, grass, green, tree",Martin Wehl
🏢,1F3E2,"workplace, company, firm, business",Martin Wehl
🏣,1F3E3,"delivery, mailing, communication",Martin Wehl
🏤,1F3E4,"delivery, mailing, yellow, communication",Martin Wehl
🏦,1F3E6,"money, business, finance, venture",Martin Wehl
🏨,1F3E8,"sleep, travel, business, holiday, vacation",Martin Wehl
🏩,1F3E9,"building, sex, affair",Martin Wehl
🏪,1F3EA,"building, shopping, buying, 24",Martin Wehl
🏬,1F3EC,"building, shopping, buying",Martin Wehl
🏭️,1F3ED,"firm, workplace, business",Martin Wehl
🏯,1F3EF,"building, culture, historical, war",Martin Wehl
🏰,1F3F0,"building, culture, historical, war",Martin Wehl
💒,1F492,"building, love, marriage, heart",Martin Wehl
⛰️,26F0,"landscape, nature, hiking, climbing, outdoor, adventure",Martin Wehl
🌋,1F30B,"landscape, nature, fire, smoke, hot",Martin Wehl
🏔️,1F3D4,"landscape, nature, hiking, climbing, white, outdoor, adventure",Martin Wehl
🏕️,1F3D5,"nature, outdoor, tent, adventure, sleeping",Martin Wehl
🏖️,1F3D6,"nature, summer, sun, sand, water, holidays",Martin Wehl
🏜️,1F3DC,"nature, hot, sun, sand, dry",Martin Wehl
🏝️,1F3DD,"sun, lonely, sand, water, stranded, palm, nature",Martin Wehl
🏞️,1F3DE,"nature, outdoor, adventure, woods, mountain",Martin Wehl
🗻,1F5FB,"japan, japanese, geographic",Martin Wehl
🌍️,1F30D,"geographic, continent, global, planet",Martin Wehl
🌎️,1F30E,"geographic, continent, global, planet",Martin Wehl
🌏️,1F30F,"geographic, continent, global, planet",Martin Wehl
🌐,1F310,"geographic, continent, global, planet, grid",Martin Wehl
🗺️,1F5FA,"geographic, continent, global, planet, earth",Martin Wehl
🎭️,1F3AD,"culture, entertainment, education",Martin Wehl
🖼️,1F5BC,"culture, artist, entertainment",Martin Wehl
⛺️,26FA,"nature, outdoor, adventure",Martin Wehl
🎨,1F3A8,"culture, artist, leisure, entertainment",Martin Wehl
🎪,1F3AA,"fun, leisure, entertainment, red, white",Martin Wehl
💈,1F488,"beauty, hairdresser",Martin Wehl
⛪️,26EA,"religious, pray, cross, building, god, mess, faith",Martin Wehl
⛩️,26E9,"religious, pray, building, god, faith",Martin Wehl
🕋,1F54B,"religious, pray, building, god, black, mecca, faith",Martin Wehl
🕌,1F54C,"religious, pray, building, god, faith",Martin Wehl
🕍,1F54D,"religious, pray, building, god, faith",Martin Wehl
🌸,1F338,"pink,",Hilda Kalyoncu
🌹,1F339,"rose, red, nature, present, valentines day",Hilda Kalyoncu
🌼,1F33C,"yellow, nature",Hilda Kalyoncu
🌷,1F337,"pink, eastern",Hilda Kalyoncu
🌺,1F33A,pink,Hilda Kalyoncu
🌻,1F33B,"sun, flower, yellow, summer",Hilda Kalyoncu
💐,1F490,"present, flower, tulip, bouquet",Hilda Kalyoncu
🥀,1F940,"rose, wilted, flower, red, sad, plant",Hilda Kalyoncu
🌲,1F332,"green, tree, fir, plant",Hilda Kalyoncu
🌳,1F333,"green, tree, huge, plant",Hilda Kalyoncu
🌴,1F334,"sea, vacation, beach, relax, plant",Hilda Kalyoncu
🌵,1F335,"desert, sun, warm, hot, texas, plant",Hilda Kalyoncu
🍀,1F340,"luck, four, leaf, green, plant",Hilda Kalyoncu
☘️,2618,"green, plant",Hilda Kalyoncu
🌱,1F331,"farming, growing, green",Hilda Kalyoncu
🌿,1F33F,green,Hilda Kalyoncu
🍁,1F341,"autumn, colorful",Hilda Kalyoncu
✝️,271D,,Jose Avila
🛐,1F6D0,pray,Jose Avila
☪️,262A,,Jose Avila
☮️,262E,,Jose Avila
☯️,262F,balance,Jose Avila
⚛️,269B,,Jose Avila
🔥,1F525,"fire, burn, hot, high temperature, flame, glow, flame, tool",Vanessa Boutzikoudi
⚡️,26A1,"lightning, high voltage, storm, current, voltage, volts, lights, light",Vanessa Boutzikoudi
⭐️,2B50,"star, shine, small planet, sky, yellow, sparkle, far away",Vanessa Boutzikoudi
☀️,2600,"sun, sunrise, warm, sunbeams, feel good, beach, tanning, fire, fireball, hot, heavenly body",Vanessa Boutzikoudi
☁️,2601,"cloud, cloudy, rain, gray, misty, diffuse, sky, dream, fleecy clouds",Vanessa Boutzikoudi
🌈,1F308,"rainbow, color, colorful, colors formed in the sky, sunbeams, sunlight, facet, sparkle, unicorn",Vanessa Boutzikoudi
🌊,1F30A,"wave, water, salty, sea, wet, cold, sun, beach, vacation, air, surf, sough, listen",Vanessa Boutzikoudi
🌡️,1F321,"temperatures, room temperatures, degrees, heat, warming, fever, cold, celsius, measure, sick",Vanessa Boutzikoudi
💧,1F4A7,"drops, droplets, raindrops, wet, rain, cold, fluid, liquid, wet, puddle, pearl, tear",Vanessa Boutzikoudi
☂️,2602,"purple, umbrella, rain, wet, drop, raindrops",Vanessa Boutzikoudi
☔️,2614,"umbrella, rain, raindrops, wet, drops, windy, rain falling",Vanessa Boutzikoudi
❄️,2744,"snowflake, snow, ice, icy, wintry, snow storm, white, cold, frosty, season, weather, melting",Vanessa Boutzikoudi
🌀,1F300,"whirl, swirl, spiral, funnel, rotation, rotate, air, turbulent",Vanessa Boutzikoudi
🌙,1F319,"crescent moon, full moon, night, night sky, moon, celestial body, crescent, planet, far away",Vanessa Boutzikoudi
🌛,1F31B,"face, first quarter, half moon, moon, full moon, night, night sky, starry sky, light, moonlight, round, celestial bodies, sickle, planet",Vanessa Boutzikoudi
🌜️,1F31C,"face, last quarter, half moon, moon, full moon, night, night sky, starry sky, light, moonlight, round, celestial bodies, sickle, planet",Vanessa Boutzikoudi
🌝,1F31D,"moon, full moon, night, stars, moonlight, disc, no clouds",Vanessa Boutzikoudi
🌞,1F31E,"sun, face, bright, sun, sunrise, warm, rays, beach, tanning, fire, fireball, hot, celestial bodies, star",Vanessa Boutzikoudi
🌟,1F31F,"star, shine, glow, bright, sparkle, small planet, sky, yellow, far away, constellation, shooting star, milky way",Vanessa Boutzikoudi
🌠,1F320,"shooting star, star, sparkle, shine, bright, far away, sky, star sky, night, wish, lightning",Vanessa Boutzikoudi
🌤️,1F324,"sun, behind, small, cloud, sunny, cloudy, rain, cool, sky, weather",Vanessa Boutzikoudi
🌥️,1F325,"sun, behind, large, cloud, gray, cloudy, rain, diffuse, sky, weather",Vanessa Boutzikoudi
🌦️,1F326,"sun, behind, rain, cloud, wet, rainy, cloudy, cool, weather",Vanessa Boutzikoudi
🌧️,1F327,"cloud, rain, raindrops, falling, down, wet, cool, cloudy, weather, stormy",Vanessa Boutzikoudi
🌨️,1F328,"cloud, snow, falling, ice, wet, cold, cloudy, stormy, weather",Vanessa Boutzikoudi
🌩️,1F329,"cloud, lightning, glaring, wet, cold, cloudy, gray, weather, storm, current, voltage, light up, light",Vanessa Boutzikoudi
🌪️,1F32A,"tornado, wind, blow, sky, dangerous, severe weather, storm, hurricane, typhoon, cyclone",Vanessa Boutzikoudi
🌬️,1F32C,"wind, face, blowing, air, mouth, mother nature, sky",Vanessa Boutzikoudi
⛄️,26C4,"snowman, frosty, frosty the snowman, snowman, olaf, winter, not snowing",Vanessa Boutzikoudi
⛅️,26C5,"sun, behind, cloud, appear, cloudy, cool, sunny, weather",Vanessa Boutzikoudi
⛈️,26C8,"cloud, lightning, rain, thunder, weather, storm, thunderstorm",Vanessa Boutzikoudi
🔇,1F507,,Rana Cakir
🔈️,1F508,sound,Rana Cakir
🔊,1F50A,sound,Rana Cakir
🔔,1F514,sound,Rana Cakir
🔕,1F515,,Rana Cakir
📢,1F4E2,sound,Rana Cakir
📯,1F4EF,,Rana Cakir
🔉,1F509,,Rana Cakir
⚽️,26BD,"soccer, ball, football, game, ball game, team sports",Vanessa Boutzikoudi
⚾️,26BE,"baseball, white, ball, american, game, ball game, team sports",Vanessa Boutzikoudi
🎣,1F3A3,"fishing rod, fishing pole, line, fish, caught, hobby",Vanessa Boutzikoudi
🎯,1F3AF,"direct, hit, dart board, archery, bullseye, target, darts, game",Vanessa Boutzikoudi
🎱,1F3B1,"pool ball, 8 Ball, black ball, cue ball, magic 8 ball, pool, snooker, billiards, game",Vanessa Boutzikoudi
🎾,1F3BE,"tennis, tennis ball, ball game, game, racket, racquet, sport",Vanessa Boutzikoudi
🎿,1F3BF,"skis, Skiing, Ski Boot, to ski, winter, snow, hobby, sport",Vanessa Boutzikoudi
🏀,1F3C0,"basketball, orange ball, team sport, sport, canadian sport, game",Vanessa Boutzikoudi
🏈,1F3C8,"american, football, american game, oval ball, ball game, superbowl, team sport",Vanessa Boutzikoudi
🏉,1F3C9,"rugby, football, brown ball, league, rugby, union, team sport, british sports, sport",Vanessa Boutzikoudi
🏏,1F3CF,"cricket, game, cricket bat and ball, hobby, activity",Vanessa Boutzikoudi
🏐,1F3D0,"ball, ball game, team sport, sport, hobby, olympic games",Vanessa Boutzikoudi
🏑,1F3D1,"field, hockey, field hockey stick and ball, ice hockey, team sport, hockey stick, puck",Vanessa Boutzikoudi
🏒,1F3D2,"ice hockey, hockey stick, puck, field hockey, game, team sport",Vanessa Boutzikoudi
🏓,1F3D3,"ping pong, table tennis, paddle, ball, game, ball game, hobby",Vanessa Boutzikoudi
🥊,1F94A,"boxing, glove, red, mitt, sport, fist, beat, slap, slap in your face, muhammad ali",Vanessa Boutzikoudi
🥋,1F94B,"white, uniform, judo, karate, keikogi, sport",Vanessa Boutzikoudi
⛳️,26F3,"flag, golf, golf flag, golf hole with flag, sport, ball, goal",Vanessa Boutzikoudi
⌚️,231A,"watch, time,",Rana Cakir
⌛️,231B,"countdown, hourglass",Rana Cakir
⏰,23F0,,Rana Cakir
⏱️,23F1,,Rana Cakir
⏳️,23F3,,Rana Cakir
🕐️,1F550,time,Rana Cakir
🕑️,1F551,time,Rana Cakir
🕒️,1F552,time,Rana Cakir
🕓️,1F553,time,Rana Cakir
🕔️,1F554,time,Rana Cakir
🕕️,1F555,time,Rana Cakir
🕖️,1F556,time,Rana Cakir
🕗️,1F557,time,Rana Cakir
🕘️,1F558,time,Rana Cakir
🕙️,1F559,time,Rana Cakir
🕚️,1F55A,time,Rana Cakir
🕛️,1F55B,time,Rana Cakir
🕜️,1F55C,time,Rana Cakir
🕝️,1F55D,time,Rana Cakir
🕞️,1F55E,time,Rana Cakir
🕟️,1F55F,time,Rana Cakir
🕠️,1F560,time,Rana Cakir
🕡️,1F561,time,Rana Cakir
🕢️,1F562,time,Rana Cakir
🕣️,1F563,time,Rana Cakir
🕤️,1F564,time,Rana Cakir
🕥️,1F565,time,Rana Cakir
🕦️,1F566,time,Rana Cakir
🕧️,1F567,time,Rana Cakir
⏲️,23F2,time,Rana Cakir
⚙️,2699,"tool, metal, silver",Hilda Kalyoncu
🔧,1F527,"toolbox, silver",Hilda Kalyoncu
🔫,1F52B,"gun, weapon, pistol",Hilda Kalyoncu
🔗,1F517,"silver, link",Hilda Kalyoncu
🔨,1F528,"toolbox, metal, wood",Hilda Kalyoncu
⚖️,2696,silver,Hilda Kalyoncu
🗜️,1F5DC,toolbox,Hilda Kalyoncu
🗡️,1F5E1,metal,Hilda Kalyoncu
🛠️,1F6E0,"craft mans, logo",Hilda Kalyoncu
🛡️,1F6E1,"protection, fight, middle ages",Hilda Kalyoncu
⛏️,26CF,weapon,Hilda Kalyoncu
⛓️,26D3,"metal, silver",Hilda Kalyoncu
✈️,2708,"fly, airplane, aeroplane, air, sky, travel, departure, arrive",Ronja Bäurlen
🚀,1F680,"rocket, space, galaxy, adventure, alien, transportation",Ronja Bäurlen
🚁,1F681,"helicopter, air, transportation, sky, fly, flying",Ronja Bäurlen
🛸,1F6F8,"alien, UFO, space, planets, adventures",Ronja Bäurlen
💺,1F4BA,"seat, chair, lounge, Airplane, sitting, comfort",Ronja Bäurlen
🚠,1F6A0,"travel, mountain, high",Ronja Bäurlen
🛩️,1F6E9,"fly, airplane, aeroplane, air, sky, travel, departure, arrive",Ronja Bäurlen
🛫,1F6EB,"fly, airplane, aeroplane, air, sky, travel, departure",Ronja Bäurlen
🛬,1F6EC,"fly, airplane, aeroplane, air, sky, travel, arrive",Ronja Bäurlen
🛰️,1F6F0,"space, galaxy, satellite",Ronja Bäurlen
🚂,1F682,"Train, Locomotive, travel, drive",Ronja Bäurlen
🚃,1F683,"train, locomotive, railway car, travel",Ronja Bäurlen
🚅,1F685,"train, locomotive, railway car, travel, transportation",Ronja Bäurlen
🚌,1F68C,"Bus, travel, transportation",Ronja Bäurlen
🚐,1F690,"Bus, travel, transportation, car",Ronja Bäurlen
🚑️,1F691,"travel, hospital, ambulance, alarm, doctor, help",Ronja Bäurlen
🚒,1F692,"travel, fire, fire engine, red, alarm",Ronja Bäurlen
🚓,1F693,"travel, car, police, patrol",Ronja Bäurlen
🚕,1F695,"travel, transportation, car, taxi, cab",Ronja Bäurlen
🚗,1F697,"car, travel, automobile, vehicle, transportation",Ronja Bäurlen
🚚,1F69A,"truck, delivery, car, transportation, travel, trucker, driver",Ronja Bäurlen
🚜,1F69C,"tractor, towing, vehicle, farm, farming, field, acre",Ronja Bäurlen
🚦,1F6A6,"light, red, green, yellow, vertical, traffic, light",Ronja Bäurlen
🚲️,1F6B2,"bike, vehicle, bicycle",Ronja Bäurlen
🛴,1F6F4,"kick, scooter, city roller",Ronja Bäurlen
🚉,1F689,"train station, station, stop, train, railway, travel, departure, arrives",Ronja Bäurlen
🚏,1F68F,"station, stop, bus, traffic, travel, bus stop, departure, arrive",Ronja Bäurlen
🚙,1F699,"car, travel, automobile, vehicle, transportation, sport, utility",Ronja Bäurlen
🚛,1F69B,"delivery truck, truck, car, transportation, travel, trucker, truck driver",Ronja Bäurlen
🚝,1F69D,"train, locomotive, monorail, travel, transportation",Ronja Bäurlen
🚥,1F6A5,"light, red, green, yellow, traffic, traffic light",Ronja Bäurlen
🚧,1F6A7,"barrier, warning, stop, attention, traffic",Ronja Bäurlen
🛑,1F6D1,"stop, sign, signal, warning",Ronja Bäurlen
🛵,1F6F5,"motor, scooter, transportation, bicycle,",Ronja Bäurlen
⛽️,26FD,"fuel, gas, station, transportation",Ronja Bäurlen
🚹️,1F6B9,"man, restroom, guy, dude, male, toilet",Ronja Bäurlen
🚺️,1F6BA,"woman, female, restroom, chick, women, toilet",Ronja Bäurlen
🚻,1F6BB,"unisex, restroom, male, toilet, woman, female",Ronja Bäurlen
♿️,267F,"disabled, toilet, restroom",Ronja Bäurlen
🚮,1F6AE,"trash, litter, bin, garbage, can, throw, away",Ronja Bäurlen
🚰,1F6B0,"water, faucet, tap, glass",Ronja Bäurlen
🚼️,1F6BC,"baby, changing, station, restroom, toilet",Ronja Bäurlen
🚾,1F6BE,"restroom, WC, toilet, water, closet",Ronja Bäurlen
🚢,1F6A2,"boat, passengers, ship, travel, sea, atlantic, ocean, water",Ronja Bäurlen
🛥️,1F6E5,"boat, passengers, ship, travel, sea, atlantic, ocean, water, motor",Ronja Bäurlen
⛵️,26F5,"boat, passengers, ship, travel, sea, atlantic, ocean, water, yacht, resort, sail, sailboat",Ronja Bäurlen
⚓️,2693,"boat, ship, travel, sea, atlantic, ocean, water, tool, anchor, metal",Ronja Bäurlen
🚤,1F6A4,"boat, passengers, ship, travel, sea, atlantic, ocean, water, speed",Ronja Bäurlen
🛳️,1F6F3,"boat, passengers, ship, travel, sea, atlantic, ocean, water",Ronja Bäurlen
🚫,1F6AB,,Miriam Vollmeier
⚠️,26A0,,Miriam Vollmeier
📵,1F4F5,,Miriam Vollmeier
⛔️,26D4,,Miriam Vollmeier
🔞,1F51E,,Miriam Vollmeier
🚭️,1F6AD,,Miriam Vollmeier
🚳,1F6B3,,Miriam Vollmeier
✏️,270F,,Rana Cakir
