emoji,hexcode,group,subgroups,annotation,tags,hfg_tags,hfg_author,skintone,skintone_base_emoji,skintone_base_hexcode,unicode,order
👮🏻,1F46E-1F3FB,smileys-people,person-role,police officer: light skin tone,,,Lisa Thiel,1,👮,1F46E,2,406
👮🏼,1F46E-1F3FC,smileys-people,person-role,police officer: medium-light skin tone,,,Lisa Thiel,2,👮,1F46E,2,407
👮🏽,1F46E-1F3FD,smileys-people,person-role,police officer: medium skin tone,,,Lisa Thiel,3,👮,1F46E,2,408
👮🏾,1F46E-1F3FE,smileys-people,person-role,police officer: medium-dark skin tone,,,Lisa Thiel,4,👮,1F46E,2,409
👮🏿,1F46E-1F3FF,smileys-people,person-role,police officer: dark skin tone,,,Lisa Thiel,5,👮,1F46E,2,410
🕵️,1F575,smileys-people,person-role,detective,"sleuth, spy","sleuth, spy, sherlock, investigator, magnifier, magnifying glass, cloak, coat",Lisa Thiel,,🕵️,1F575,1,436
🕵🏻,1F575-1F3FB,smileys-people,person-role,detective: light skin tone,,,Lisa Thiel,1,🕵️,1F575,2,437
🕵🏼,1F575-1F3FC,smileys-people,person-role,detective: medium-light skin tone,,,Lisa Thiel,2,🕵️,1F575,2,438
🕵🏽,1F575-1F3FD,smileys-people,person-role,detective: medium skin tone,,,Lisa Thiel,3,🕵️,1F575,2,439
🕵🏾,1F575-1F3FE,smileys-people,person-role,detective: medium-dark skin tone,,,Lisa Thiel,4,🕵️,1F575,2,440
🕵🏿,1F575-1F3FF,smileys-people,person-role,detective: dark skin tone,,,Lisa Thiel,5,🕵️,1F575,2,441
💂,1F482,smileys-people,person-role,guard,guard,"guard, britain, great britain, queen, england, london, royal guard, furry hat guard, protection",Lisa Thiel,,💂,1F482,1,470
💂🏻,1F482-1F3FB,smileys-people,person-role,guard: light skin tone,,,Lisa Thiel,1,💂,1F482,2,471
💂🏼,1F482-1F3FC,smileys-people,person-role,guard: medium-light skin tone,,,Lisa Thiel,2,💂,1F482,2,472
💂🏽,1F482-1F3FD,smileys-people,person-role,guard: medium skin tone,,,Lisa Thiel,3,💂,1F482,2,473
💂🏾,1F482-1F3FE,smileys-people,person-role,guard: medium-dark skin tone,,,Lisa Thiel,4,💂,1F482,2,474
💂🏿,1F482-1F3FF,smileys-people,person-role,guard: dark skin tone,,,Lisa Thiel,5,💂,1F482,2,475
👷,1F477,smileys-people,person-role,construction worker,"construction, hat, worker","construction, hat, worker, striped west, helmet",Lisa Thiel,,👷,1F477,1,500
👷🏻,1F477-1F3FB,smileys-people,person-role,construction worker: light skin tone,,,Lisa Thiel,1,👷,1F477,2,501
👷🏼,1F477-1F3FC,smileys-people,person-role,construction worker: medium-light skin tone,,,Lisa Thiel,2,👷,1F477,2,502
👷🏽,1F477-1F3FD,smileys-people,person-role,construction worker: medium skin tone,,,Lisa Thiel,3,👷,1F477,2,503
👷🏾,1F477-1F3FE,smileys-people,person-role,construction worker: medium-dark skin tone,,,Lisa Thiel,4,👷,1F477,2,504
👷🏿,1F477-1F3FF,smileys-people,person-role,construction worker: dark skin tone,,,Lisa Thiel,5,👷,1F477,2,505
🤴,1F934,smileys-people,person-role,prince,prince,"prince, charming, crown, fairy tale, fantasy, pink",Lisa Thiel,,🤴,1F934,3,530
🤴🏻,1F934-1F3FB,smileys-people,person-role,prince: light skin tone,,,Lisa Thiel,1,🤴,1F934,3,531
🤴🏼,1F934-1F3FC,smileys-people,person-role,prince: medium-light skin tone,,,Lisa Thiel,2,🤴,1F934,3,532
🤴🏽,1F934-1F3FD,smileys-people,person-role,prince: medium skin tone,,,Lisa Thiel,3,🤴,1F934,3,533
🤴🏾,1F934-1F3FE,smileys-people,person-role,prince: medium-dark skin tone,,,Lisa Thiel,4,🤴,1F934,3,534
🤴🏿,1F934-1F3FF,smileys-people,person-role,prince: dark skin tone,,,Lisa Thiel,5,🤴,1F934,3,535
👸,1F478,smileys-people,person-role,princess,"fairy tale, fantasy","fairy tale, fantasy, crown, pink dress, princess crown",Lisa Thiel,,👸,1F478,1,536
👸🏻,1F478-1F3FB,smileys-people,person-role,princess: light skin tone,,,Lisa Thiel,1,👸,1F478,2,537
👸🏼,1F478-1F3FC,smileys-people,person-role,princess: medium-light skin tone,,,Lisa Thiel,2,👸,1F478,2,538
👸🏽,1F478-1F3FD,smileys-people,person-role,princess: medium skin tone,,,Lisa Thiel,3,👸,1F478,2,539
👸🏾,1F478-1F3FE,smileys-people,person-role,princess: medium-dark skin tone,,,Lisa Thiel,4,👸,1F478,2,540
👸🏿,1F478-1F3FF,smileys-people,person-role,princess: dark skin tone,,,Lisa Thiel,5,👸,1F478,2,541
👳,1F473,smileys-people,person-role,person wearing turban,turban,"man, beard, turban, religion",Lisa Thiel,,👳,1F473,1,542
👳🏻,1F473-1F3FB,smileys-people,person-role,person wearing turban: light skin tone,,,Lisa Thiel,1,👳,1F473,2,543
👳🏼,1F473-1F3FC,smileys-people,person-role,person wearing turban: medium-light skin tone,,,Lisa Thiel,2,👳,1F473,2,544
👳🏽,1F473-1F3FD,smileys-people,person-role,person wearing turban: medium skin tone,,,Lisa Thiel,3,👳,1F473,2,545
👳🏾,1F473-1F3FE,smileys-people,person-role,person wearing turban: medium-dark skin tone,,,Lisa Thiel,4,👳,1F473,2,546
👳🏿,1F473-1F3FF,smileys-people,person-role,person wearing turban: dark skin tone,,,Lisa Thiel,5,👳,1F473,2,547
🧕,1F9D5,smileys-people,person-role,woman with headscarf,"headscarf, hijab, mantilla, tichel","headscarf, hijab, mantilla, religion, religious, muslim",Lisa Thiel,,🧕,1F9D5,5,578
🧕🏻,1F9D5-1F3FB,smileys-people,person-role,woman with headscarf: light skin tone,,,Lisa Thiel,1,🧕,1F9D5,5,579
🧕🏼,1F9D5-1F3FC,smileys-people,person-role,woman with headscarf: medium-light skin tone,,,Lisa Thiel,2,🧕,1F9D5,5,580
🧕🏽,1F9D5-1F3FD,smileys-people,person-role,woman with headscarf: medium skin tone,,,Lisa Thiel,3,🧕,1F9D5,5,581
🧕🏾,1F9D5-1F3FE,smileys-people,person-role,woman with headscarf: medium-dark skin tone,,,Lisa Thiel,4,🧕,1F9D5,5,582
🧕🏿,1F9D5-1F3FF,smileys-people,person-role,woman with headscarf: dark skin tone,,,Lisa Thiel,5,🧕,1F9D5,5,583
🧔,1F9D4,smileys-people,person,man: beard,"beard, person","beard, man, facial hair, man, manly",Lisa Thiel,,🧔,1F9D4,5,584
🧔🏻,1F9D4-1F3FB,smileys-people,person-role,"man: light skin tone, beard",,,Lisa Thiel,1,🧔,1F9D4,5,585
🧔🏼,1F9D4-1F3FC,smileys-people,person-role,"man: medium-light skin tone, beard",,,Lisa Thiel,2,🧔,1F9D4,5,586
🧔🏽,1F9D4-1F3FD,smileys-people,person-role,"man: medium skin tone, beard",,,Lisa Thiel,3,🧔,1F9D4,5,587
🧔🏾,1F9D4-1F3FE,smileys-people,person-role,"man: medium-dark skin tone, beard",,,Lisa Thiel,4,🧔,1F9D4,5,588
🧔🏿,1F9D4-1F3FF,smileys-people,person-role,"man: dark skin tone, beard",,,Lisa Thiel,5,🧔,1F9D4,5,589
👰,1F470,smileys-people,person-role,bride with veil,"bride, veil, wedding","bride, veil, wedding, woman, female, marriage, married, love, wedding dress",Lisa Thiel,,👰,1F470,1,674
👰🏻,1F470-1F3FB,smileys-people,person-role,bride with veil: light skin tone,,,Lisa Thiel,1,👰,1F470,2,675
👰🏼,1F470-1F3FC,smileys-people,person-role,bride with veil: medium-light skin tone,,,Lisa Thiel,2,👰,1F470,2,676
👰🏽,1F470-1F3FD,smileys-people,person-role,bride with veil: medium skin tone,,,Lisa Thiel,3,👰,1F470,2,677
👰🏾,1F470-1F3FE,smileys-people,person-role,bride with veil: medium-dark skin tone,,,Lisa Thiel,4,👰,1F470,2,678
👰🏿,1F470-1F3FF,smileys-people,person-role,bride with veil: dark skin tone,,,Lisa Thiel,5,👰,1F470,2,679
🤰,1F930,smileys-people,person-role,pregnant woman,"pregnant, woman","pregnant, woman, child, birth, love, mother, motherhood, trust, baby",Lisa Thiel,,🤰,1F930,3,680
🤰🏻,1F930-1F3FB,smileys-people,person-role,pregnant woman: light skin tone,,,Lisa Thiel,1,🤰,1F930,3,681
🤰🏼,1F930-1F3FC,smileys-people,person-role,pregnant woman: medium-light skin tone,,,Lisa Thiel,2,🤰,1F930,3,682
🤰🏽,1F930-1F3FD,smileys-people,person-role,pregnant woman: medium skin tone,,,Lisa Thiel,3,🤰,1F930,3,683
🤰🏾,1F930-1F3FE,smileys-people,person-role,pregnant woman: medium-dark skin tone,,,Lisa Thiel,4,🤰,1F930,3,684
🤰🏿,1F930-1F3FF,smileys-people,person-role,pregnant woman: dark skin tone,,,Lisa Thiel,5,🤰,1F930,3,685
🤱,1F931,smileys-people,person-role,breast-feeding,"baby, breast, nursing","baby, breast, nursing, love, trust, mother, motherhood",Lisa Thiel,,🤱,1F931,5,686
🤱🏻,1F931-1F3FB,smileys-people,person-role,breast-feeding: light skin tone,,,Lisa Thiel,1,🤱,1F931,5,687
🤱🏼,1F931-1F3FC,smileys-people,person-role,breast-feeding: medium-light skin tone,,,Lisa Thiel,2,🤱,1F931,5,688
🤱🏽,1F931-1F3FD,smileys-people,person-role,breast-feeding: medium skin tone,,,Lisa Thiel,3,🤱,1F931,5,689
🤱🏾,1F931-1F3FE,smileys-people,person-role,breast-feeding: medium-dark skin tone,,,Lisa Thiel,4,🤱,1F931,5,690
🤱🏿,1F931-1F3FF,smileys-people,person-role,breast-feeding: dark skin tone,,,Lisa Thiel,5,🤱,1F931,5,691
🎅,1F385,smileys-people,person-fantasy,Santa Claus,"celebration, christmas, claus, father, santa, santa claus","christmas, holiday, jolly, happy, saint nicholas, santa claus, xmas, celebration",Lisa Thiel,,🎅,1F385,1,698
🎅🏻,1F385-1F3FB,smileys-people,person-fantasy,Santa Claus: light skin tone,,,Lisa Thiel,1,🎅,1F385,2,699
🎅🏼,1F385-1F3FC,smileys-people,person-fantasy,Santa Claus: medium-light skin tone,,,Lisa Thiel,2,🎅,1F385,2,700
🎅🏽,1F385-1F3FD,smileys-people,person-fantasy,Santa Claus: medium skin tone,,,Lisa Thiel,3,🎅,1F385,2,701
🎅🏾,1F385-1F3FE,smileys-people,person-fantasy,Santa Claus: medium-dark skin tone,,,Lisa Thiel,4,🎅,1F385,2,702
🎅🏿,1F385-1F3FF,smileys-people,person-fantasy,Santa Claus: dark skin tone,,,Lisa Thiel,5,🎅,1F385,2,703
🤶,1F936,smileys-people,person-fantasy,Mrs. Claus,"celebration, christmas, claus, mother, mrs., mrs. claus","christmas, holiday, jolly, happy, mrs. clause, xmas, celebration",Lisa Thiel,,🤶,1F936,3,704
🤶🏻,1F936-1F3FB,smileys-people,person-fantasy,Mrs. Claus: light skin tone,,,Lisa Thiel,1,🤶,1F936,3,705
🤶🏼,1F936-1F3FC,smileys-people,person-fantasy,Mrs. Claus: medium-light skin tone,,,Lisa Thiel,2,🤶,1F936,3,706
🤶🏽,1F936-1F3FD,smileys-people,person-fantasy,Mrs. Claus: medium skin tone,,,Lisa Thiel,3,🤶,1F936,3,707
🤶🏾,1F936-1F3FE,smileys-people,person-fantasy,Mrs. Claus: medium-dark skin tone,,,Lisa Thiel,4,🤶,1F936,3,708
🤶🏿,1F936-1F3FF,smileys-people,person-fantasy,Mrs. Claus: dark skin tone,,,Lisa Thiel,5,🤶,1F936,3,709
🧙,1F9D9,smileys-people,person-fantasy,mage,"sorcerer, sorceress, witch, wizard","sorcerer, sorceress, witch, wizard, magician, wand, sage",Lisa Thiel,,🧙,1F9D9,5,770
🧙🏻,1F9D9-1F3FB,smileys-people,person-fantasy,mage: light skin tone,,,Lisa Thiel,1,🧙,1F9D9,5,771
🧙🏼,1F9D9-1F3FC,smileys-people,person-fantasy,mage: medium-light skin tone,,,Lisa Thiel,2,🧙,1F9D9,5,772
🧙🏽,1F9D9-1F3FD,smileys-people,person-fantasy,mage: medium skin tone,,,Lisa Thiel,3,🧙,1F9D9,5,773
🧙🏾,1F9D9-1F3FE,smileys-people,person-fantasy,mage: medium-dark skin tone,,,Lisa Thiel,4,🧙,1F9D9,5,774
🧙🏿,1F9D9-1F3FF,smileys-people,person-fantasy,mage: dark skin tone,,,Lisa Thiel,5,🧙,1F9D9,5,775
🧝,1F9DD,smileys-people,person-fantasy,elf,magical,"magical, mystic, bow, arrow, pointy ears",Lisa Thiel,,🧝,1F9DD,5,890
🧝🏻,1F9DD-1F3FB,smileys-people,person-fantasy,elf: light skin tone,,,Lisa Thiel,1,🧝,1F9DD,5,891
🧝🏼,1F9DD-1F3FC,smileys-people,person-fantasy,elf: medium-light skin tone,,,Lisa Thiel,2,🧝,1F9DD,5,892
🧝🏽,1F9DD-1F3FD,smileys-people,person-fantasy,elf: medium skin tone,,,Lisa Thiel,3,🧝,1F9DD,5,893
🧝🏾,1F9DD-1F3FE,smileys-people,person-fantasy,elf: medium-dark skin tone,,,Lisa Thiel,4,🧝,1F9DD,5,894
🧝🏿,1F9DD-1F3FF,smileys-people,person-fantasy,elf: dark skin tone,,,Lisa Thiel,5,🧝,1F9DD,5,895
🧞,1F9DE,smileys-people,person-fantasy,genie,djinn,"djinn, magic lamp, wish, magic",Lisa Thiel,,,,5,920
🧟,1F9DF,smileys-people,person-fantasy,zombie,"undead, walking dead","undead, walking dead, brain, decayed",Lisa Thiel,,,,5,925
🙍,1F64D,smileys-people,person-gesture,person frowning,"frown, gesture","negative, angry, head, face",Johanna Wellnitz,,🙍,1F64D,1,930
🙍🏻,1F64D-1F3FB,smileys-people,person-gesture,person frowning: light skin tone,,,Johanna Wellnitz,1,🙍,1F64D,2,931
🙍🏼,1F64D-1F3FC,smileys-people,person-gesture,person frowning: medium-light skin tone,,,Johanna Wellnitz,2,🙍,1F64D,2,932
🙍🏽,1F64D-1F3FD,smileys-people,person-gesture,person frowning: medium skin tone,,,Johanna Wellnitz,3,🙍,1F64D,2,933
🙍🏾,1F64D-1F3FE,smileys-people,person-gesture,person frowning: medium-dark skin tone,,,Johanna Wellnitz,4,🙍,1F64D,2,934
🙍🏿,1F64D-1F3FF,smileys-people,person-gesture,person frowning: dark skin tone,,,Johanna Wellnitz,5,🙍,1F64D,2,935
🙎,1F64E,smileys-people,person-gesture,person pouting,"gesture, pouting","sad, negative, head, face",Johanna Wellnitz,,🙎,1F64E,1,960
🙎🏻,1F64E-1F3FB,smileys-people,person-gesture,person pouting: light skin tone,,,Johanna Wellnitz,1,🙎,1F64E,2,961
🙎🏼,1F64E-1F3FC,smileys-people,person-gesture,person pouting: medium-light skin tone,,,Johanna Wellnitz,2,🙎,1F64E,2,962
🙎🏽,1F64E-1F3FD,smileys-people,person-gesture,person pouting: medium skin tone,,,Johanna Wellnitz,3,🙎,1F64E,2,963
🙎🏾,1F64E-1F3FE,smileys-people,person-gesture,person pouting: medium-dark skin tone,,,Johanna Wellnitz,4,🙎,1F64E,2,964
🙎🏿,1F64E-1F3FF,smileys-people,person-gesture,person pouting: dark skin tone,,,Johanna Wellnitz,5,🙎,1F64E,2,965
🙅,1F645,smileys-people,person-gesture,person gesturing NO,"forbidden, gesture, hand, person gesturing no, prohibited","human, head, face",Johanna Wellnitz,,🙅,1F645,1,990
🙅🏻,1F645-1F3FB,smileys-people,person-gesture,person gesturing NO: light skin tone,,,Johanna Wellnitz,1,🙅,1F645,2,991
🙅🏼,1F645-1F3FC,smileys-people,person-gesture,person gesturing NO: medium-light skin tone,,,Johanna Wellnitz,2,🙅,1F645,2,992
🙅🏽,1F645-1F3FD,smileys-people,person-gesture,person gesturing NO: medium skin tone,,,Johanna Wellnitz,3,🙅,1F645,2,993
🙅🏾,1F645-1F3FE,smileys-people,person-gesture,person gesturing NO: medium-dark skin tone,,,Johanna Wellnitz,4,🙅,1F645,2,994
🙅🏿,1F645-1F3FF,smileys-people,person-gesture,person gesturing NO: dark skin tone,,,Johanna Wellnitz,5,🙅,1F645,2,995
🙆,1F646,smileys-people,person-gesture,person gesturing OK,"gesture, hand, ok, person gesturing ok","human, head, face",Johanna Wellnitz,,🙆,1F646,1,1020
🙆🏻,1F646-1F3FB,smileys-people,person-gesture,person gesturing OK: light skin tone,,,Johanna Wellnitz,1,🙆,1F646,2,1021
🙆🏼,1F646-1F3FC,smileys-people,person-gesture,person gesturing OK: medium-light skin tone,,,Johanna Wellnitz,2,🙆,1F646,2,1022
🙆🏽,1F646-1F3FD,smileys-people,person-gesture,person gesturing OK: medium skin tone,,,Johanna Wellnitz,3,🙆,1F646,2,1023
🙆🏾,1F646-1F3FE,smileys-people,person-gesture,person gesturing OK: medium-dark skin tone,,,Johanna Wellnitz,4,🙆,1F646,2,1024
🙆🏿,1F646-1F3FF,smileys-people,person-gesture,person gesturing OK: dark skin tone,,,Johanna Wellnitz,5,🙆,1F646,2,1025
💁,1F481,smileys-people,person-gesture,person tipping hand,"hand, help, information, sassy, tipping","human, head, face",Johanna Wellnitz,,💁,1F481,1,1050
💁🏻,1F481-1F3FB,smileys-people,person-gesture,person tipping hand: light skin tone,,,Johanna Wellnitz,1,💁,1F481,2,1051
💁🏼,1F481-1F3FC,smileys-people,person-gesture,person tipping hand: medium-light skin tone,,,Johanna Wellnitz,2,💁,1F481,2,1052
💁🏽,1F481-1F3FD,smileys-people,person-gesture,person tipping hand: medium skin tone,,,Johanna Wellnitz,3,💁,1F481,2,1053
💁🏾,1F481-1F3FE,smileys-people,person-gesture,person tipping hand: medium-dark skin tone,,,Johanna Wellnitz,4,💁,1F481,2,1054
💁🏿,1F481-1F3FF,smileys-people,person-gesture,person tipping hand: dark skin tone,,,Johanna Wellnitz,5,💁,1F481,2,1055
🙋,1F64B,smileys-people,person-gesture,person raising hand,"gesture, hand, happy, raised","human, head, face",Johanna Wellnitz,,🙋,1F64B,1,1080
🙋🏻,1F64B-1F3FB,smileys-people,person-gesture,person raising hand: light skin tone,,,Johanna Wellnitz,1,🙋,1F64B,2,1081
🙋🏼,1F64B-1F3FC,smileys-people,person-gesture,person raising hand: medium-light skin tone,,,Johanna Wellnitz,2,🙋,1F64B,2,1082
🙋🏽,1F64B-1F3FD,smileys-people,person-gesture,person raising hand: medium skin tone,,,Johanna Wellnitz,3,🙋,1F64B,2,1083
🙋🏾,1F64B-1F3FE,smileys-people,person-gesture,person raising hand: medium-dark skin tone,,,Johanna Wellnitz,4,🙋,1F64B,2,1084
🙋🏿,1F64B-1F3FF,smileys-people,person-gesture,person raising hand: dark skin tone,,,Johanna Wellnitz,5,🙋,1F64B,2,1085
🙇,1F647,smileys-people,person-gesture,person bowing,"apology, bow, gesture, sorry","human, head, face",Johanna Wellnitz,,🙇,1F647,1,1110
🙇🏻,1F647-1F3FB,smileys-people,person-gesture,person bowing: light skin tone,,,Johanna Wellnitz,1,🙇,1F647,2,1111
🙇🏼,1F647-1F3FC,smileys-people,person-gesture,person bowing: medium-light skin tone,,,Johanna Wellnitz,2,🙇,1F647,2,1112
🙇🏽,1F647-1F3FD,smileys-people,person-gesture,person bowing: medium skin tone,,,Johanna Wellnitz,3,🙇,1F647,2,1113
🙇🏾,1F647-1F3FE,smileys-people,person-gesture,person bowing: medium-dark skin tone,,,Johanna Wellnitz,4,🙇,1F647,2,1114
🙇🏿,1F647-1F3FF,smileys-people,person-gesture,person bowing: dark skin tone,,,Johanna Wellnitz,5,🙇,1F647,2,1115
🤦,1F926,smileys-people,person-gesture,person facepalming,"disbelief, exasperation, face, palm","facepalm, human, head, face",Johanna Wellnitz,,🤦,1F926,3,1140
🤦🏻,1F926-1F3FB,smileys-people,person-gesture,person facepalming: light skin tone,,,Johanna Wellnitz,1,🤦,1F926,3,1141
🤦🏼,1F926-1F3FC,smileys-people,person-gesture,person facepalming: medium-light skin tone,,,Johanna Wellnitz,2,🤦,1F926,3,1142
🤦🏽,1F926-1F3FD,smileys-people,person-gesture,person facepalming: medium skin tone,,,Johanna Wellnitz,3,🤦,1F926,3,1143
🤦🏾,1F926-1F3FE,smileys-people,person-gesture,person facepalming: medium-dark skin tone,,,Johanna Wellnitz,4,🤦,1F926,3,1144
🤦🏿,1F926-1F3FF,smileys-people,person-gesture,person facepalming: dark skin tone,,,Johanna Wellnitz,5,🤦,1F926,3,1145
🤦‍♂️,1F926-200D-2642-FE0F,smileys-people,person-gesture,man facepalming,"disbelief, exasperation, facepalm, man","facepalm, head, face",Johanna Wellnitz,,🤦‍♂️,1F926-200D-2642-FE0F,4,1146
🤦🏻‍♂️,1F926-1F3FB-200D-2642-FE0F,smileys-people,person-gesture,man facepalming: light skin tone,,,Johanna Wellnitz,1,🤦‍♂️,1F926-200D-2642-FE0F,4,1148
🤦🏼‍♂️,1F926-1F3FC-200D-2642-FE0F,smileys-people,person-gesture,man facepalming: medium-light skin tone,,,Johanna Wellnitz,2,🤦‍♂️,1F926-200D-2642-FE0F,4,1150
🤦🏽‍♂️,1F926-1F3FD-200D-2642-FE0F,smileys-people,person-gesture,man facepalming: medium skin tone,,,Johanna Wellnitz,3,🤦‍♂️,1F926-200D-2642-FE0F,4,1152
🤦🏾‍♂️,1F926-1F3FE-200D-2642-FE0F,smileys-people,person-gesture,man facepalming: medium-dark skin tone,,,Johanna Wellnitz,4,🤦‍♂️,1F926-200D-2642-FE0F,4,1154
🤦🏿‍♂️,1F926-1F3FF-200D-2642-FE0F,smileys-people,person-gesture,man facepalming: dark skin tone,,,Johanna Wellnitz,5,🤦‍♂️,1F926-200D-2642-FE0F,4,1156
🤦‍♀️,1F926-200D-2640-FE0F,smileys-people,person-gesture,woman facepalming,"disbelief, exasperation, facepalm, woman","facepalm, head, face",Johanna Wellnitz,,🤦‍♀️,1F926-200D-2640-FE0F,4,1158
🤦🏻‍♀️,1F926-1F3FB-200D-2640-FE0F,smileys-people,person-gesture,woman facepalming: light skin tone,,,Johanna Wellnitz,1,🤦‍♀️,1F926-200D-2640-FE0F,4,1160
🤦🏼‍♀️,1F926-1F3FC-200D-2640-FE0F,smileys-people,person-gesture,woman facepalming: medium-light skin tone,,,Johanna Wellnitz,2,🤦‍♀️,1F926-200D-2640-FE0F,4,1162
🤦🏽‍♀️,1F926-1F3FD-200D-2640-FE0F,smileys-people,person-gesture,woman facepalming: medium skin tone,,,Johanna Wellnitz,3,🤦‍♀️,1F926-200D-2640-FE0F,4,1164
🤦🏾‍♀️,1F926-1F3FE-200D-2640-FE0F,smileys-people,person-gesture,woman facepalming: medium-dark skin tone,,,Johanna Wellnitz,4,🤦‍♀️,1F926-200D-2640-FE0F,4,1166
🤦🏿‍♀️,1F926-1F3FF-200D-2640-FE0F,smileys-people,person-gesture,woman facepalming: dark skin tone,,,Johanna Wellnitz,5,🤦‍♀️,1F926-200D-2640-FE0F,4,1168
🤷,1F937,smileys-people,person-gesture,person shrugging,"doubt, ignorance, indifference, shrug","human, head, face",Johanna Wellnitz,,🤷,1F937,3,1170
🤷🏻,1F937-1F3FB,smileys-people,person-gesture,person shrugging: light skin tone,,,Johanna Wellnitz,1,🤷,1F937,3,1171
🤷🏼,1F937-1F3FC,smileys-people,person-gesture,person shrugging: medium-light skin tone,,,Johanna Wellnitz,2,🤷,1F937,3,1172
🤷🏽,1F937-1F3FD,smileys-people,person-gesture,person shrugging: medium skin tone,,,Johanna Wellnitz,3,🤷,1F937,3,1173
🤷🏾,1F937-1F3FE,smileys-people,person-gesture,person shrugging: medium-dark skin tone,,,Johanna Wellnitz,4,🤷,1F937,3,1174
🤷🏿,1F937-1F3FF,smileys-people,person-gesture,person shrugging: dark skin tone,,,Johanna Wellnitz,5,🤷,1F937,3,1175
💆,1F486,smileys-people,person-activity,person getting massage,"face, massage, salon","human, person",Johanna Wellnitz,,💆,1F486,1,1200
💆🏻,1F486-1F3FB,smileys-people,person-activity,person getting massage: light skin tone,,,Johanna Wellnitz,1,💆,1F486,2,1201
💆🏼,1F486-1F3FC,smileys-people,person-activity,person getting massage: medium-light skin tone,,,Johanna Wellnitz,2,💆,1F486,2,1202
💆🏽,1F486-1F3FD,smileys-people,person-activity,person getting massage: medium skin tone,,,Johanna Wellnitz,3,💆,1F486,2,1203
💆🏾,1F486-1F3FE,smileys-people,person-activity,person getting massage: medium-dark skin tone,,,Johanna Wellnitz,4,💆,1F486,2,1204
💆🏿,1F486-1F3FF,smileys-people,person-activity,person getting massage: dark skin tone,,,Johanna Wellnitz,5,💆,1F486,2,1205
💇,1F487,smileys-people,person-activity,person getting haircut,"barber, beauty, haircut, parlor","human, person",Johanna Wellnitz,,💇,1F487,1,1230
💇🏻,1F487-1F3FB,smileys-people,person-activity,person getting haircut: light skin tone,,,Johanna Wellnitz,1,💇,1F487,2,1231
💇🏼,1F487-1F3FC,smileys-people,person-activity,person getting haircut: medium-light skin tone,,,Johanna Wellnitz,2,💇,1F487,2,1232
💇🏽,1F487-1F3FD,smileys-people,person-activity,person getting haircut: medium skin tone,,,Johanna Wellnitz,3,💇,1F487,2,1233
💇🏾,1F487-1F3FE,smileys-people,person-activity,person getting haircut: medium-dark skin tone,,,Johanna Wellnitz,4,💇,1F487,2,1234
💇🏿,1F487-1F3FF,smileys-people,person-activity,person getting haircut: dark skin tone,,,Johanna Wellnitz,5,💇,1F487,2,1235
🚶,1F6B6,smileys-people,person-activity,person walking,"hike, walk, walking","human, person",Johanna Wellnitz,,🚶,1F6B6,1,1260
🚶🏻,1F6B6-1F3FB,smileys-people,person-activity,person walking: light skin tone,,,Johanna Wellnitz,1,🚶,1F6B6,2,1261
🚶🏼,1F6B6-1F3FC,smileys-people,person-activity,person walking: medium-light skin tone,,,Johanna Wellnitz,2,🚶,1F6B6,2,1262
🚶🏽,1F6B6-1F3FD,smileys-people,person-activity,person walking: medium skin tone,,,Johanna Wellnitz,3,🚶,1F6B6,2,1263
🚶🏾,1F6B6-1F3FE,smileys-people,person-activity,person walking: medium-dark skin tone,,,Johanna Wellnitz,4,🚶,1F6B6,2,1264
🚶🏿,1F6B6-1F3FF,smileys-people,person-activity,person walking: dark skin tone,,,Johanna Wellnitz,5,🚶,1F6B6,2,1265
🚶‍♂️,1F6B6-200D-2642-FE0F,smileys-people,person-activity,man walking,"hike, man, walk","human, person",Johanna Wellnitz,,🚶‍♂️,1F6B6-200D-2642-FE0F,4,1266
🚶🏻‍♂️,1F6B6-1F3FB-200D-2642-FE0F,smileys-people,person-activity,man walking: light skin tone,,,Johanna Wellnitz,1,🚶‍♂️,1F6B6-200D-2642-FE0F,4,1268
🚶🏼‍♂️,1F6B6-1F3FC-200D-2642-FE0F,smileys-people,person-activity,man walking: medium-light skin tone,,,Johanna Wellnitz,2,🚶‍♂️,1F6B6-200D-2642-FE0F,4,1270
🚶🏽‍♂️,1F6B6-1F3FD-200D-2642-FE0F,smileys-people,person-activity,man walking: medium skin tone,,,Johanna Wellnitz,3,🚶‍♂️,1F6B6-200D-2642-FE0F,4,1272
🚶🏾‍♂️,1F6B6-1F3FE-200D-2642-FE0F,smileys-people,person-activity,man walking: medium-dark skin tone,,,Johanna Wellnitz,4,🚶‍♂️,1F6B6-200D-2642-FE0F,4,1274
🚶🏿‍♂️,1F6B6-1F3FF-200D-2642-FE0F,smileys-people,person-activity,man walking: dark skin tone,,,Johanna Wellnitz,5,🚶‍♂️,1F6B6-200D-2642-FE0F,4,1276
🚶‍♀️,1F6B6-200D-2640-FE0F,smileys-people,person-activity,woman walking,"hike, walk, woman","human, person",Johanna Wellnitz,,🚶‍♀️,1F6B6-200D-2640-FE0F,4,1278
🚶🏻‍♀️,1F6B6-1F3FB-200D-2640-FE0F,smileys-people,person-activity,woman walking: light skin tone,,,Johanna Wellnitz,1,🚶‍♀️,1F6B6-200D-2640-FE0F,4,1280
